Orthogroup	Enteroscipio	Lactococcus	equolifaciens	isoflavoniconvertens
OG0000186	BAK43583.1, BAK43618.1	QPR48524.1	RNL37571.1	WP_281669033.1
OG0000187	BAK43628.1, BAK43760.1, BAK44709.1		RNL39921.1, RNL40608.1	
OG0000188	BAK43642.1, BAK45884.1	QPR48905.1	RNL40238.1	WP_281669035.1
OG0000189	BAK43650.1	QPR49283.1	RNL40826.1, RNL42184.1	WP_281668547.1
OG0000190	BAK43682.1, BAK45725.1	QPR48786.1	RNL41876.1	WP_281668832.1
OG0000191	BAK43689.1	QPR48384.1, QPR49675.1	RNL39532.1, RNL40833.1	
OG0000192	BAK43761.1, BAK43762.1			WP_281668549.1, WP_281668645.1, WP_281668646.1
OG0000193	BAK43803.1, BAK44012.1	QPR49775.1	RNL41871.1	WP_114614825.1
OG0000194	BAK43808.1	QPR48116.1	RNL41853.1, RNL42097.1	WP_114616003.1
OG0000195	BAK43814.1		RNL38054.1, RNL40385.1, RNL42029.1	WP_114616246.1
OG0000196	BAK43822.1, BAK44635.1	QPR48106.1	RNL40852.1	WP_281667811.1
OG0000197	BAK43863.1, BAK44575.1		RNL40511.1, RNL42083.1	WP_281668845.1
OG0000198	BAK43868.1	QPR49356.1	RNL41394.1	WP_281667824.1, WP_281668100.1
OG0000199	BAK43877.1, BAK44366.1, BAK44913.1, BAK45817.1			WP_281668550.1
OG0000200	BAK43890.1	QPR49771.1, QPR49838.1	RNL41379.1	WP_281668783.1
OG0000201	BAK43901.1, BAK44345.1, BAK44454.1	QPR49049.1	RNL40247.1	
OG0000202	BAK43921.1, BAK44099.1, BAK44127.1, BAK44799.1		RNL38245.1	
OG0000203	BAK43936.1, BAK45870.1	QPR48926.1	RNL37674.1	WP_281668210.1
OG0000204	BAK43962.1, BAK44317.1, BAK45269.1		RNL39446.1	WP_114614907.1
OG0000205	BAK43965.1, BAK44939.1, BAK45733.1		RNL39428.1	WP_281668381.1
OG0000206	BAK44005.1, BAK44059.1, BAK45640.1, BAK45641.1		RNL39156.1	
OG0000207	BAK44016.1, BAK45718.1		RNL40805.1, RNL42135.1	WP_281668354.1
OG0000208	BAK44020.1		RNL40825.1, RNL41418.1, RNL42143.1	WP_281668757.1
OG0000209	BAK44063.1, BAK45792.1	QPR48623.1	RNL40298.1	WP_281668592.1
OG0000210	BAK44110.1	QPR49101.1, QPR49151.1	RNL40650.1	WP_281669063.1
OG0000211	BAK44165.1, BAK45238.1, BAK45698.1		RNL41056.1	WP_281669005.1
OG0000212	BAK44170.1	QPR48593.1, QPR49763.1	RNL38826.1	WP_281668496.1
OG0000213	BAK44182.1, BAK44327.1	QPR49054.1	RNL38418.1	WP_123219154.1
OG0000214	BAK44189.1		RNL37988.1, RNL40444.1, RNL40799.1, RNL41062.1	
OG0000215	BAK44194.1, BAK45543.1		RNL40500.1, RNL40581.1	WP_281668253.1
OG0000216	BAK44207.1, BAK45258.1, BAK45688.1	QPR49828.1	RNL39896.1	
OG0000217	BAK44257.1, BAK44773.1, BAK45488.1, BAK45545.1		RNL41549.1	
OG0000218	BAK44283.1	QPR49848.1	RNL41950.1, RNL41965.1	WP_281668064.1
OG0000219	BAK44284.1	QPR48678.1	RNL37823.1, RNL37836.1, RNL38412.1	
OG0000220	BAK44301.1, BAK44869.1, BAK45148.1, BAK45241.1, BAK45249.1			
OG0000221	BAK44318.1, BAK44624.1		RNL39420.1	WP_114614998.1, WP_281668384.1
OG0000222	BAK44322.1	QPR48841.1	RNL38001.1, RNL38402.1	WP_281668967.1
OG0000223	BAK44373.1	QPR48625.1, QPR49033.1	RNL39450.1	WP_281668908.1
OG0000224	BAK44390.1	QPR49479.1	RNL39838.1	WP_281667934.1, WP_281668396.1
OG0000225	BAK44407.1, BAK44778.1	QPR49238.1	RNL41109.1	WP_281669053.1
OG0000226	BAK44419.1, BAK45885.1	QPR49597.1	RNL41037.1	WP_123219412.1
OG0000227	BAK44431.1	QPR49834.1, QPR49839.1	RNL39411.1	WP_281668390.1
OG0000228	BAK44434.1	QPR49745.1, QPR49869.1	RNL39823.1	WP_281667950.1
OG0000229	BAK44453.1	QPR48193.1, QPR48427.1, QPR48892.1, QPR49199.1		
OG0000230	BAK44483.1, BAK44642.1	QPR48895.1	RNL41113.1	WP_244595023.1
OG0000231	BAK44505.1	QPR48273.1, QPR49428.1	RNL38398.1, RNL38399.1	
OG0000232	BAK44516.1	QPR48839.1	RNL38441.1	WP_281668640.1, WP_281668964.1
OG0000233	BAK44564.1	QPR48056.1, QPR49042.1	RNL40981.1	WP_114615538.1
OG0000234	BAK44587.1, BAK45481.1	QPR49309.1	RNL40591.1	WP_114614972.1
OG0000235	BAK44622.1	QPR48124.1	RNL39800.1	WP_114614952.1, WP_281668276.1
OG0000236	BAK44645.1, BAK45201.1	QPR49060.1	RNL42063.1	WP_281667967.1
OG0000237	BAK44764.1	QPR48161.1, QPR48489.1, QPR49079.1, QPR49429.1		
OG0000238	BAK44814.1, BAK45017.1	QPR48792.1	RNL40655.1	WP_281669059.1
OG0000239	BAK44835.1, BAK44982.1		RNL40975.1, RNL41025.1	WP_281668904.1
OG0000240	BAK44889.1		RNL41046.1, RNL41399.1	WP_281668812.1, WP_281668998.1
OG0000241	BAK44894.1	QPR48604.1	RNL38546.1, RNL41367.1	WP_281668956.1
OG0000242	BAK45008.1, BAK45513.1	QPR48896.1	RNL39809.1	WP_281667958.1
OG0000243	BAK45021.1	QPR49025.1	RNL39810.1	WP_281667818.1, WP_281667957.1
OG0000244	BAK45023.1	QPR48572.1, QPR48860.1, QPR49738.1		WP_281667864.1
OG0000245	BAK45026.1	QPR49170.1	RNL41981.1, RNL42027.1	WP_123218998.1
OG0000246	BAK45064.1	QPR48525.1, QPR49931.1	RNL41440.1	WP_281668018.1
OG0000247	BAK45080.1	QPR48460.1, QPR49363.1	RNL39859.1	WP_281667954.1
OG0000248	BAK45175.1, BAK45290.1	QPR49548.1	RNL42158.1	WP_281668770.1
OG0000249	BAK45200.1	QPR48139.1, QPR48474.1	RNL42053.1	WP_281667969.1
OG0000250	BAK45256.1		RNL39187.1, RNL40827.1, RNL41415.1	WP_281668922.1
OG0000251	BAK45349.1, BAK45440.1, BAK45492.1, BAK45707.1		RNL40509.1	
OG0000252	BAK45358.1		RNL39129.1, RNL41913.1	WP_114551983.1, WP_281668760.1
OG0000253	BAK45417.1		RNL37785.1, RNL39898.1, RNL42058.1	WP_281668055.1
OG0000254	BAK45427.1	QPR48487.1, QPR48526.1	RNL40836.1	WP_281668576.1
OG0000255	BAK45485.1	QPR49687.1	RNL39035.1, RNL40339.1	WP_281668536.1
OG0000256	BAK45520.1	QPR49257.1	RNL38423.1, RNL40657.1	WP_281669120.1
OG0000257	BAK45528.1	QPR48102.1, QPR48103.1	RNL39905.1	WP_281669126.1
OG0000258	BAK45574.1		RNL39948.1, RNL41373.1, RNL42100.1	WP_281668275.1
OG0000259	BAK45575.1, BAK45576.1		RNL40475.1, RNL40513.1	WP_281668194.1
OG0000260	BAK45628.1	QPR49376.1, QPR49655.1	RNL39071.1	WP_281668660.1
OG0000261	BAK45650.1		RNL40293.1, RNL40622.1	WP_281668777.1, WP_281668959.1
OG0000262	BAK45695.1, BAK45784.1	QPR49887.1	RNL41960.1	WP_281668785.1
OG0000263	BAK45740.1, BAK45843.1		RNL41904.1	WP_281668630.1, WP_281668631.1
OG0000264	BAK45745.1	QPR48603.1, QPR49910.1	RNL40332.1	WP_281668543.1
OG0000265	BAK45757.1			WP_281668087.1, WP_281668324.1, WP_281668412.1, WP_281668443.1
OG0000266	BAK45766.1	QPR48759.1, QPR48760.1	RNL40458.1	WP_281667798.1
OG0000267	BAK45769.1	QPR48763.1, QPR48764.1	RNL40455.1	WP_281667794.1
OG0000268	BAK45795.1, BAK45955.1	QPR49058.1	RNL38848.1	WP_114615632.1
OG0000269	BAK45806.1		RNL38778.1	WP_281668271.1, WP_281668621.1, WP_281668625.1
OG0000270	BAK45846.1	QPR49607.1	RNL38775.1, RNL41385.1	WP_281668627.1
OG0000271	BAK45853.1	QPR48334.1, QPR49884.1	RNL40266.1	WP_281668588.1
OG0000272	BAK45953.1	QPR48573.1, QPR49750.1	RNL38846.1	WP_281668514.1
OG0000273	BAK45956.1	QPR49172.1	RNL38850.1, RNL40658.1	WP_281668516.1
OG0000274	BAK45960.1, BAK45961.1	QPR48609.1	RNL37772.1	WP_281668518.1
OG0000275	BAK45963.1	QPR49191.1, QPR49901.1	RNL37774.1	WP_114615636.1
OG0000276		QPR48240.1, QPR48556.1, QPR48904.1, QPR48967.1, QPR49592.1		
OG0000277		QPR48338.1, QPR48515.1, QPR48696.1, QPR48736.1, QPR49815.1		
OG0000278		QPR48513.1, QPR49041.1, QPR49336.1, QPR49488.1, QPR49868.1		
OG0000279		QPR48602.1, QPR48924.1	RNL41886.1	WP_114616265.1, WP_281668128.1
OG0000280		QPR49090.1, QPR49633.1, QPR49936.1	RNL39828.1	WP_281668330.1
OG0000281			RNL38772.1, RNL39085.1, RNL42032.1, RNL42037.1	WP_281667888.1
OG0000282			RNL40829.1, RNL40830.1, RNL41411.1	WP_281668674.1, WP_281668927.1
OG0000283	BAK43288.1	QPR49245.1	RNL37778.1	WP_281668520.1
OG0000284	BAK43289.1	QPR49244.1	RNL37779.1	WP_281668521.1
OG0000285	BAK43292.1	QPR48552.1	RNL37781.1	WP_281668524.1
OG0000286	BAK43293.1	QPR48570.1	RNL37782.1	WP_281668525.1
OG0000287	BAK43296.1, BAK43574.1, BAK43575.1		RNL38761.1	
OG0000288	BAK43328.1, BAK45903.1	QPR49275.1, QPR49804.1		
OG0000289	BAK43330.1, BAK43714.1, BAK44676.1, BAK45905.1			
OG0000290	BAK43348.1, BAK43708.1, BAK44670.1, BAK45925.1			
OG0000291	BAK43355.1	QPR49497.1	RNL37787.1	WP_114616336.1
OG0000292	BAK43362.1	QPR49338.1	RNL38842.1	WP_114616437.1
OG0000293	BAK43364.1	QPR49340.1	RNL38840.1	WP_114616439.1
OG0000294	BAK43365.1	QPR49840.1	RNL38839.1	WP_114616440.1
OG0000295	BAK43366.1	QPR49841.1	RNL38837.1	WP_114616344.1
OG0000296	BAK43367.1	QPR48467.1	RNL38855.1	WP_281668244.1
OG0000297	BAK43371.1	QPR49555.1	RNL38835.1	WP_281668242.1
OG0000298	BAK43373.1		RNL38833.1	WP_281668241.1, WP_281668844.1
OG0000299	BAK43388.1, BAK43976.1, BAK43977.1			WP_281667980.1
OG0000300	BAK43391.1	QPR48195.1	RNL40814.1	WP_114616346.1
OG0000301	BAK43407.1	QPR48408.1	RNL39066.1	WP_281668526.1
OG0000302	BAK43410.1		RNL39136.1, RNL40242.1, RNL41519.1	
OG0000303	BAK43411.1, BAK45155.1		RNL38075.1	WP_123219552.1
OG0000304	BAK43412.1	QPR49352.1	RNL38042.1	WP_281668606.1
OG0000305	BAK43413.1	QPR49712.1	RNL38046.1	WP_281668604.1
OG0000306	BAK43418.1, BAK45452.1	QPR49210.1		WP_281668843.1
OG0000307	BAK43430.1, BAK43796.1, BAK44866.1, BAK45752.1			
OG0000308	BAK43435.1, BAK45849.1		RNL38074.1	WP_123219553.1
OG0000309	BAK43436.1	QPR48093.1	RNL37679.1	WP_281668819.1
OG0000310	BAK43437.1	QPR49239.1	RNL42199.1	WP_281668820.1
OG0000311	BAK43445.1, BAK43987.1		RNL41390.1	WP_281668781.1
OG0000312	BAK43456.1	QPR48605.1	RNL41899.1	WP_114616247.1
OG0000313	BAK43459.1, BAK43633.1, BAK44550.1, BAK45616.1			
OG0000314	BAK43470.1	QPR49252.1	RNL39074.1, RNL39076.1	
OG0000315	BAK43483.1, BAK44928.1, BAK44981.1			WP_281668095.1
OG0000316	BAK43499.1	QPR49749.1	RNL39164.1	WP_281668730.1
OG0000317	BAK43514.1	QPR48279.1	RNL40296.1	WP_281668464.1
OG0000318	BAK43528.1	QPR49231.1	RNL40285.1	WP_281667810.1
OG0000319	BAK43530.1	QPR48262.1	RNL40284.1	WP_281667808.1
OG0000320	BAK43535.1	QPR48127.1	RNL40518.1	WP_281668458.1
OG0000321	BAK43544.1, BAK43555.1		RNL38751.1	WP_281668754.1
OG0000322	BAK43560.1, BAK44472.1		RNL41495.1	WP_114614862.1
OG0000323	BAK43565.1	QPR48538.1	RNL40450.1	WP_281667803.1
OG0000324	BAK43567.1	QPR48479.1	RNL39564.1	WP_281668296.1
OG0000325	BAK43579.1	QPR48302.1, QPR48339.1, QPR49228.1		
OG0000326	BAK43589.1	QPR49777.1	RNL38823.1	WP_281668856.1
OG0000327	BAK43590.1	QPR49778.1	RNL38822.1	WP_281668857.1
OG0000328	BAK43591.1, BAK45469.1		RNL40346.1	WP_281668098.1
OG0000329	BAK43596.1	QPR48910.1	RNL37442.1	WP_123219561.1
OG0000330	BAK43597.1	QPR48858.1	RNL37434.1	WP_281668617.1
OG0000331	BAK43603.1	QPR48693.1	RNL37438.1	WP_281668614.1
OG0000332	BAK43604.1, BAK43843.1		RNL39523.1	WP_281668175.1
OG0000333	BAK43608.1		RNL39528.1, RNL41436.1	WP_281668177.1
OG0000334	BAK43610.1	QPR49665.1	RNL38030.1	WP_114615287.1
OG0000335	BAK43612.1	QPR48181.1	RNL38032.1	WP_114615289.1
OG0000336	BAK43614.1	QPR48183.1	RNL41947.1	WP_281668685.1
OG0000337	BAK43619.1, BAK44543.1		RNL42200.1	WP_281668985.1
OG0000338	BAK43638.1	QPR48381.1	RNL38434.1	WP_114616312.1
OG0000339	BAK43639.1	QPR48380.1	RNL38433.1	WP_123220184.1
OG0000340	BAK43643.1, BAK45397.1		RNL42064.1	WP_114615404.1
OG0000341	BAK43652.1, BAK43818.1, BAK44857.1		RNL38571.1	
OG0000342	BAK43655.1	QPR49179.1	RNL39077.1	WP_281668445.1
OG0000343	BAK43658.1, BAK45160.1		RNL41084.1, RNL41085.1	
OG0000344	BAK43674.1	QPR49206.1	RNL41883.1	WP_123219841.1
OG0000345	BAK43676.1	QPR48281.1	RNL41882.1	WP_281668827.1
OG0000346	BAK43677.1	QPR48770.1	RNL41881.1	WP_281668828.1
OG0000347	BAK43678.1	QPR49186.1	RNL41880.1	WP_123219837.1
OG0000348	BAK43679.1	QPR48886.1	RNL41879.1	WP_281668829.1
OG0000349	BAK43680.1	QPR49310.1	RNL41878.1	WP_281668830.1
OG0000350	BAK43681.1	QPR48795.1	RNL41877.1	WP_281668831.1
OG0000351	BAK43685.1	QPR49772.1	RNL42177.1	WP_281668833.1
OG0000352	BAK43686.1	QPR49773.1	RNL41875.1	WP_114614796.1
OG0000353	BAK43704.1, BAK44662.1, BAK45828.1		RNL39082.1	
OG0000354	BAK43713.1, BAK44675.1		RNL41024.1	WP_281669052.1
OG0000355	BAK43739.1	QPR48957.1	RNL39540.1	WP_281667880.1
OG0000356	BAK43742.1	QPR48713.1	RNL39535.1	WP_281668206.1
OG0000357	BAK43743.1, BAK45713.1, BAK45800.1		RNL41930.1	
OG0000358	BAK43751.1	QPR48872.1	RNL39534.1	WP_281668205.1
OG0000359	BAK43753.1	QPR48862.1	RNL39533.1	WP_281668203.1
OG0000360	BAK43755.1	QPR49842.1	RNL39531.1	WP_281668202.1
OG0000361	BAK43767.1		RNL41917.1	WP_281668221.1, WP_281668751.1
OG0000362	BAK43769.1	QPR48835.1	RNL39866.1	WP_281668891.1
OG0000363	BAK43774.1		RNL38430.1	WP_123219233.1, WP_281668083.1
OG0000364	BAK43775.1	QPR49692.1	RNL37980.1	WP_123219139.1
OG0000365	BAK43776.1	QPR49691.1	RNL37981.1	WP_281669104.1
OG0000366	BAK43777.1	QPR48668.1	RNL41867.1	WP_281668855.1
OG0000367	BAK43783.1		RNL38243.1, RNL40331.1	WP_281668359.1
OG0000368	BAK43802.1	QPR49774.1	RNL41872.1	WP_114614824.1
OG0000369	BAK43805.1	QPR48733.1	RNL41869.1	WP_281668854.1
OG0000370	BAK43810.1	QPR49919.1	RNL42094.1	WP_281668756.1
OG0000371	BAK43811.1	QPR48881.1	RNL42093.1	WP_281668841.1
OG0000372	BAK43813.1	QPR49648.1	RNL42087.1	WP_281668842.1
OG0000373	BAK43830.1	QPR48565.1	RNL37801.1	WP_281668846.1
OG0000374	BAK43837.1	QPR48715.1	RNL39842.1	WP_281668283.1
OG0000375	BAK43838.1	QPR49200.1	RNL41533.1	WP_114615118.1
OG0000376	BAK43844.1, BAK45945.1	QPR49214.1	RNL39560.1	
OG0000377	BAK43846.1, BAK45001.1, BAK45178.1, BAK45458.1			
OG0000378	BAK43852.1	QPR48666.1	RNL41375.1	WP_281668940.1
OG0000379	BAK43862.1		RNL40528.1, RNL42084.1	WP_123218633.1
OG0000380	BAK43866.1, BAK44951.1		RNL41395.1	WP_281668101.1
OG0000381	BAK43870.1	QPR49384.1	RNL42176.1	WP_281668688.1
OG0000382	BAK43871.1	QPR49502.1	RNL41861.1	WP_114615865.1
OG0000383	BAK43872.1	QPR49503.1	RNL42175.1	WP_281668062.1
OG0000384	BAK43873.1	QPR49388.1	RNL41860.1	WP_123219747.1
OG0000385	BAK43874.1	QPR49389.1	RNL42174.1	WP_281668197.1
OG0000386	BAK43882.1, BAK44253.1, BAK44923.1, BAK45737.1			
OG0000387	BAK43887.1	QPR49390.1	RNL41843.1	WP_281668060.1
OG0000388	BAK43889.1	QPR49391.1	RNL41841.1	WP_281668051.1
OG0000389	BAK43891.1		RNL39130.1	WP_281668714.1, WP_281668890.1
OG0000390	BAK43894.1, BAK45840.1		RNL41884.1	WP_281668825.1
OG0000391	BAK43907.1, BAK44126.1		RNL37316.1	WP_281668943.1
OG0000392	BAK43908.1, BAK43913.1		RNL37228.1	WP_281668944.1
OG0000393	BAK43927.1	QPR49616.1	RNL37578.1	WP_281668743.1
OG0000394	BAK43933.1	QPR49938.1	RNL39132.1	WP_114614675.1
OG0000395	BAK43934.1	QPR48845.1	RNL39133.1	WP_281668716.1
OG0000396	BAK43947.1	QPR48186.1	RNL40225.1	WP_281667842.1
OG0000397	BAK43948.1	QPR48187.1	RNL40224.1	WP_281667843.1
OG0000398	BAK43950.1		RNL40223.1	WP_281667845.1, WP_281668316.1
OG0000399	BAK43951.1	QPR48188.1	RNL40222.1	WP_281667846.1
OG0000400	BAK43956.1	QPR49825.1	RNL38549.1	WP_281668970.1
OG0000401	BAK43967.1		RNL37570.1, RNL41982.1, RNL42150.1	
OG0000402	BAK43982.1	QPR48885.1	RNL37232.1	WP_114614642.1
OG0000403	BAK43983.1	QPR49867.1	RNL37231.1	WP_281668741.1
OG0000404	BAK43985.1	QPR49635.1	RNL41955.1	WP_123219955.1
OG0000405	BAK43989.1	QPR49636.1	RNL37594.1	WP_281668775.1
OG0000406	BAK43995.1, BAK44280.1		RNL38762.1, RNL40595.1	
OG0000407	BAK43998.1	QPR49177.1	RNL38444.1	WP_281668506.1
OG0000408	BAK44000.1	QPR49549.1	RNL42157.1	WP_281667848.1
OG0000409	BAK44004.1, BAK44057.1, BAK45842.1		RNL40257.1	
OG0000410	BAK44008.1	QPR48801.1	RNL42133.1	WP_123219003.1
OG0000411	BAK44009.1	QPR49335.1	RNL42128.1	WP_281667860.1
OG0000412	BAK44010.1	QPR49193.1	RNL42127.1	WP_114615190.1
OG0000413	BAK44011.1	QPR49059.1	RNL42126.1	WP_114615189.1
OG0000414	BAK44023.1	QPR49032.1	RNL37335.1	WP_281668763.1
OG0000415	BAK44052.1	QPR48541.1	RNL39503.1	WP_281668075.1
OG0000416	BAK44061.1	QPR49557.1	RNL37468.1	WP_281668881.1
OG0000417	BAK44062.1	QPR49558.1	RNL37469.1	WP_281668882.1
OG0000418	BAK44067.1, BAK44068.1		RNL41999.1	WP_281668692.1
OG0000419	BAK44074.1		RNL37448.1, RNL42096.1	WP_161957458.1
OG0000420	BAK44076.1	QPR49318.1	RNL41974.1	WP_281668883.1
OG0000421	BAK44083.1	QPR49023.1	RNL38011.1	WP_281668817.1
OG0000422	BAK44116.1	QPR49147.1	RNL41369.1	WP_281668136.1
OG0000423	BAK44138.1	QPR48656.1	RNL41465.1	WP_281668047.1
OG0000424	BAK44140.1	QPR48654.1	RNL41463.1	WP_281667993.1
OG0000425	BAK44141.1	QPR48850.1	RNL38819.1	WP_281668493.1
OG0000426	BAK44142.1	QPR49056.1	RNL41462.1	WP_281667994.1
OG0000427	BAK44143.1	QPR48653.1	RNL41461.1	WP_281667995.1
OG0000428	BAK44144.1	QPR48806.1	RNL41460.1	WP_281667996.1
OG0000429	BAK44145.1	QPR48878.1	RNL41542.1	WP_281667997.1
OG0000430	BAK44146.1	QPR48805.1	RNL41459.1	WP_281667998.1
OG0000431	BAK44147.1	QPR49491.1	RNL41458.1	WP_281667999.1
OG0000432	BAK44150.1	QPR49619.1	RNL41541.1	WP_281668002.1
OG0000433	BAK44152.1	QPR49620.1	RNL41455.1	WP_281668004.1
OG0000434	BAK44153.1	QPR49621.1	RNL41454.1	WP_281668005.1
OG0000435	BAK44154.1	QPR49622.1	RNL41453.1	WP_114615982.1
OG0000436	BAK44158.1	QPR49756.1	RNL41451.1	WP_281668007.1
OG0000437	BAK44164.1		RNL37837.1	WP_281668684.1, WP_281668768.1
OG0000438	BAK44167.1	QPR48174.1	RNL40487.1	WP_281668011.1
OG0000439	BAK44168.1		RNL39455.1, RNL41493.1	WP_281668873.1
OG0000440	BAK44169.1	QPR48138.1	RNL38827.1	WP_281668497.1
OG0000441	BAK44181.1		RNL36809.1, RNL38417.1	WP_281669118.1
OG0000442	BAK44184.1	QPR48929.1	RNL41484.1	WP_281669143.1
OG0000443	BAK44198.1		RNL41098.1, RNL42086.1	WP_281668072.1
OG0000444	BAK44211.1	QPR49627.1	RNL41480.1	WP_114614914.1
OG0000445	BAK44213.1	QPR49122.1	RNL41478.1	WP_114614916.1
OG0000446	BAK44214.1	QPR49121.1	RNL41477.1	WP_211326823.1
OG0000447	BAK44215.1	QPR49511.1	RNL41476.1	WP_114614918.1
OG0000448	BAK44216.1	QPR49512.1	RNL41475.1	WP_281667986.1
OG0000449	BAK44219.1	QPR49715.1	RNL41474.1	WP_281667987.1
OG0000450	BAK44222.1	QPR48260.1	RNL40663.1	WP_123219427.1
OG0000451	BAK44223.1	QPR49358.1	RNL39854.1	WP_123218954.1
OG0000452	BAK44224.1	QPR49359.1	RNL39853.1	WP_281668661.1
OG0000453	BAK44226.1	QPR48898.1	RNL39850.1	WP_123218953.1
OG0000454	BAK44231.1	QPR49903.1	RNL39848.1	WP_281668663.1
OG0000455	BAK44235.1	QPR48812.1	RNL41488.1	WP_123218672.1
OG0000456	BAK44236.1		RNL38012.1, RNL40382.1	WP_281668216.1
OG0000457	BAK44252.1	QPR49928.1	RNL41517.1	WP_281668866.1
OG0000458	BAK44263.1	QPR48269.1	RNL41987.1	WP_281668681.1
OG0000459	BAK44266.1	QPR48961.1	RNL37345.1	WP_281669111.1
OG0000460	BAK44267.1	QPR48960.1	RNL37344.1	WP_114615557.1
OG0000461	BAK44268.1	QPR48959.1	RNL37343.1	WP_281669110.1
OG0000462	BAK44269.1	QPR48459.1	RNL37342.1	WP_281669109.1
OG0000463	BAK44270.1		RNL37341.1, RNL41527.1	WP_281668436.1
OG0000464	BAK44271.1		RNL37340.1	WP_281668488.1, WP_281669108.1
OG0000465	BAK44281.1		RNL38567.1	WP_281667856.1, WP_281667857.1
OG0000466	BAK44290.1	QPR49247.1	RNL41936.1	WP_281668682.1
OG0000467	BAK44299.1, BAK44305.1		RNL37986.1, RNL42129.1	
OG0000468	BAK44306.1	QPR48319.1	RNL42132.1	WP_281669134.1
OG0000469	BAK44307.1		RNL38050.1, RNL40492.1	WP_114615305.1
OG0000470	BAK44308.1		RNL40840.1	WP_281668444.1, WP_281669132.1
OG0000471	BAK44311.1	QPR49672.1	RNL37998.1	WP_123219036.1
OG0000472	BAK44312.1	QPR48484.1	RNL37999.1	WP_281668801.1
OG0000473	BAK44323.1	QPR49545.1	RNL42161.1	WP_281668123.1
OG0000474	BAK44333.1	QPR49575.1, QPR49770.1	RNL38395.1	
OG0000475	BAK44337.1		RNL38794.1, RNL41376.1	WP_281668938.1
OG0000476	BAK44338.1	QPR49906.1	RNL38013.1	WP_114616198.1
OG0000477	BAK44339.1	QPR49736.1	RNL38004.1	WP_114616199.1
OG0000478	BAK44340.1	QPR49737.1	RNL38005.1	WP_114616200.1
OG0000479	BAK44375.1	QPR48362.1	RNL39448.1	WP_280176477.1
OG0000480	BAK44381.1	QPR49305.1	RNL41426.1	WP_281668401.1
OG0000481	BAK44384.1	QPR48622.1	RNL41423.1	WP_281668404.1
OG0000482	BAK44389.1	QPR49478.1	RNL39865.1	WP_281667933.1
OG0000483	BAK44394.1	QPR48689.1	RNL39864.1	WP_281667938.1
OG0000484	BAK44396.1	QPR49330.1	RNL40669.1	WP_281669018.1
OG0000485	BAK44406.1	QPR49925.1	RNL41022.1	WP_281667928.1
OG0000486	BAK44416.1	QPR49077.1	RNL41028.1	WP_281668989.1
OG0000487	BAK44418.1		RNL38750.1, RNL41030.1	WP_281668987.1
OG0000488	BAK44420.1	QPR49601.1	RNL41038.1	WP_281668993.1
OG0000489	BAK44421.1	QPR49642.1	RNL39407.1	WP_281668393.1
OG0000490	BAK44425.1	QPR49221.1	RNL41381.1	WP_123218939.1
OG0000491	BAK44426.1	QPR48071.1	RNL39414.1	WP_114614999.1
OG0000492	BAK44427.1	QPR48072.1	RNL39468.1	WP_181861858.1
OG0000493	BAK44429.1	QPR48075.1	RNL39413.1	WP_281668389.1
OG0000494	BAK44432.1	QPR48563.1	RNL39410.1	WP_281668391.1
OG0000495	BAK44433.1	QPR48562.1	RNL39409.1	WP_114615004.1
OG0000496	BAK44439.1, BAK44930.1		RNL39435.1	WP_281667906.1
OG0000497	BAK44441.1	QPR48428.1	RNL39841.1	WP_281668670.1
OG0000498	BAK44443.1	QPR48690.1	RNL40967.1	WP_281669096.1
OG0000499	BAK44444.1	QPR48509.1	RNL40968.1	WP_281669142.1
OG0000500	BAK44445.1	QPR48508.1	RNL41099.1	WP_281669095.1
OG0000501	BAK44446.1	QPR48507.1	RNL40969.1	WP_123219128.1
OG0000502	BAK44447.1	QPR49280.1	RNL40639.1	WP_281669010.1
OG0000503	BAK44448.1	QPR49418.1	RNL40640.1	WP_281669011.1
OG0000504	BAK44449.1	QPR48561.1	RNL40641.1	WP_281669012.1
OG0000505	BAK44463.1	QPR48675.1	RNL41072.1	WP_281669046.1
OG0000506	BAK44464.1	QPR48674.1	RNL41071.1	WP_114615495.1
OG0000507	BAK44466.1	QPR49514.1	RNL41070.1	WP_281669045.1
OG0000508	BAK44467.1	QPR48080.1	RNL41068.1	WP_281669044.1
OG0000509	BAK44468.1	QPR49136.1	RNL41532.1	WP_281669101.1
OG0000510	BAK44473.1, BAK44831.1		RNL38756.1	WP_281668635.1
OG0000511	BAK44476.1	QPR49641.1	RNL39408.1	WP_281668392.1
OG0000512	BAK44484.1, BAK45306.1		RNL40286.1	WP_183907108.1
OG0000513	BAK44490.1	QPR49646.1	RNL41039.1	WP_281668994.1
OG0000514	BAK44491.1	QPR49605.1	RNL41040.1	WP_281668995.1
OG0000515	BAK44492.1	QPR49606.1	RNL41041.1	WP_281668996.1
OG0000516	BAK44502.1, BAK44536.1		RNL38562.1	WP_281668978.1
OG0000517	BAK44508.1		RNL38408.1, RNL41387.1, RNL42002.1	
OG0000518	BAK44509.1	QPR48166.1, QPR49250.1	RNL40348.1	
OG0000519	BAK44533.1	QPR49251.1	RNL38587.1	WP_281668976.1
OG0000520	BAK44554.1	QPR49845.1	RNL40991.1	WP_114615568.1
OG0000521	BAK44557.1	QPR49361.1	RNL40988.1	WP_281669082.1
OG0000522	BAK44558.1	QPR49732.1	RNL40987.1	WP_281669083.1
