Orthogroup	GCA_000008865.2	MG1655	Wolbachia	fragilis
OG0000570	BAB36803.1	AAC75571.1	QQM01288.1	QRP88475.1
OG0000571	BAB36822.1	AAC75586.1	QQM01366.1	QRP88123.1
OG0000572	BAB36840.1	AAC75604.1	QQM01179.1	QRP89950.1
OG0000573	BAB36846.1	AAT48143.1	QQM01165.1	QRP89035.1
OG0000574	BAB36847.2	AAC75611.2		QRP89148.1, QRP90618.1
OG0000575	BAB36848.2	AAC75612.2	QQM00734.1	QRP91336.1
OG0000576	BAB36853.1	AAC75617.1	QQM00405.1	QRP88468.1
OG0000577	BAB36855.1	AAC75619.1	QQM00948.1	QRP88358.1
OG0000578	BAB36856.1	AAC75620.1	QQM01336.1	QRP87813.1
OG0000579	BAB36858.1	AAC75622.1	QQM00740.1	QRP89572.1
OG0000580	BAB36869.2	AAC75633.1		QRP88588.1, QRP88905.1
OG0000581	BAB36880.1	AAC75643.1	QQM01480.1	QRP87588.1
OG0000582	BAB36892.1	AAC75655.1	QQM01168.1	QRP87533.1
OG0000583	BAB36893.1	AAC75656.1	QQM01169.1	QRP89722.1
OG0000584	BAB36895.1	AAC75658.1	QQM00995.1	QRP89426.1
OG0000585	BAB36896.1	AAC75659.1	QQM01211.1	QRP89129.1
OG0000586	BAB36899.1	AAC75663.1	QQM00997.1	QRP90534.1
OG0000587	BAB36900.1	AAC75664.1	QQM01056.1	QRP88467.1
OG0000588	BAB36905.1	AAC75669.1	QQM00972.1	QRP89144.1
OG0000589	BAB36961.1	AAC75722.1	QQM00514.1	QRP89443.1
OG0000590	BAB36962.1	AAC75723.1	QQM00527.1	QRP89442.1
OG0000591	BAB36977.1	AAC75739.1	QQM01047.1	QRP91288.1
OG0000592	BAB36979.1	AAC75741.1	QQM01190.1	QRP90914.1
OG0000593	BAB36989.1	AAC75752.1		QRP88159.1, QRP91097.1
OG0000594	BAB37021.1	AAC75786.1	QQM01210.1	QRP91280.1
OG0000595	BAB37023.1	AAC75788.1	QQM01264.1	QRP88432.1
OG0000596	BAB37030.1	AAC75331.2, AAC75795.1		QRP88168.1
OG0000597	BAB37053.2	AAC75816.2, AAC77223.1		QRP87894.1
OG0000598	BAB37062.1	AAC75821.1	QQM00752.1	QRP90938.1
OG0000599	BAB37063.1	AAC75822.1	QQM00733.1	QRP89529.1
OG0000600	BAB37108.1	AAC75867.1	QQM00973.1	QRP87962.1
OG0000601	BAB37121.1, BAB37242.1	AAC75880.1, AAC75980.1		
OG0000602	BAB37124.2	AAC74479.1, AAC75284.1, AAC75883.2		
OG0000603	BAB37156.1, BAB37656.2, BAB37998.1	AAC76416.1		
OG0000604	BAB37180.1, BAB38469.1	AAC77034.1, AAT48153.1		
OG0000605	BAB37184.1	AAC75927.1		QRP88546.1, QRP91104.1
OG0000606	BAB37186.1	AAC75929.1	QQM00656.1	QRP87688.1
OG0000607	BAB37187.1	AAC75930.1	QQM00603.1	QRP88502.1
OG0000608	BAB37205.2	AAC75949.1	QQM01358.1	QRP91119.1
OG0000609	BAB37220.1	AAC75963.1	QQM01276.1	QRP89080.1
OG0000610	BAB37241.1	AAC75979.1	QQM00464.1	QRP87905.1
OG0000611	BAB37245.2	AAC75983.2	QQM01315.1	QRP91059.1
OG0000612	BAB37263.2	AAC75459.1, AAC76001.2		QRP91057.1
OG0000613	BAB37370.1	AAC76100.1	QQM00912.1	QRP89693.1
OG0000614	BAB37394.1	AAC76124.1	QQM01411.1	QRP90430.1
OG0000615	BAB37398.2	AAC75306.2, AAC76128.2		QRP91184.1
OG0000616	BAB37468.2	AAC76198.2	QQM01079.1	QRP88180.1
OG0000617	BAB37469.1	AAC76199.1	QQM01078.1	QRP88066.1
OG0000618	BAB37473.1	AAC76203.1	QQM01396.1	QRP87775.1
OG0000619	BAB37480.2	AAC76210.1	QQM01348.1	QRP91440.1
OG0000620	BAB37483.2	AAC76213.2	QQM00870.1	QRP88182.1
OG0000621	BAB37485.1	AAC76215.1	QQM00751.1	QRP90978.1
OG0000622	BAB37487.1	AAC76217.1	QQM00463.1	QRP91072.1
OG0000623	BAB37488.1	AAC76218.1	QQM00462.1	QRP91071.1
OG0000624	BAB37489.1	AAC76219.1	QQM00996.1	QRP87875.1
OG0000625	BAB37491.1	AAC76221.1	QQM01299.1	QRP88695.1
OG0000626	BAB37496.1	AAC76226.1	QQM01136.1	QRP88362.1
OG0000627	BAB37518.2	AAC76254.2		QRP87534.1, QRP90526.1
OG0000628	BAB37521.1	AAC76257.1		QRP88494.1, QRP90558.1
OG0000629	BAB37526.1	AAC76262.1	QQM00407.1	QRP88426.1
OG0000630	BAB37527.1	AAC76263.1	QQM00408.1	QRP88425.1
OG0000631	BAB37533.1	AAC76269.1	QQM00717.1	QRP87557.1
OG0000632	BAB37543.1	AAC76280.1	QQM00622.1	QRP91502.1
OG0000633	BAB37555.1	AAC76292.1	QQM00379.1	QRP87975.1
OG0000634	BAB37568.2	AAC76304.2	QQM00731.1	QRP88242.1
OG0000635	BAB37574.1	AAT48176.1	QQM00428.1	QRP87978.1
OG0000636	BAB37575.1	AAC76312.1	QQM00489.1	QRP90580.1
OG0000637	BAB37576.1	AAC76313.1	QQM01051.1	QRP88529.1
OG0000638	BAB37582.1	AAC76319.1	QQM00874.1	QRP88293.1
OG0000639	BAB37583.1	AAC76320.1	QQM00875.1	QRP88292.1
OG0000640	BAB37584.1	AAC76321.1	QQM01425.1	QRP88291.1
OG0000641	BAB37585.1	AAC76322.1	QQM00876.1	QRP88290.1
OG0000642	BAB37586.1	AAC76323.1	QQM00877.1	QRP88289.1
OG0000643	BAB37588.1	AAC76325.1	QQM00879.1	QRP88285.1
OG0000644	BAB37589.1	AAC76326.1	QQM00880.1	QRP88284.1
OG0000645	BAB37591.1	AAC76328.1	QQM00881.1	QRP88282.1
OG0000646	BAB37592.1	AAC76329.1	QQM00882.1	QRP88281.1
OG0000647	BAB37593.1	AAC76330.1	QQM00883.1	QRP88280.1
OG0000648	BAB37594.1	AAC76331.1	QQM00884.1	QRP88279.1
OG0000649	BAB37595.1	AAC76332.1	QQM00885.1	QRP88278.1
OG0000650	BAB37596.1	AAC76333.1	QQM00886.1	QRP88277.1
OG0000651	BAB37597.1	AAC76334.1	QQM00887.1	QRP88276.1
OG0000652	BAB37598.1	AAC76335.1	QQM00888.1	QRP88275.1
OG0000653	BAB37599.1	AAC76336.1	QQM00889.1	QRP88274.1
OG0000654	BAB37601.1	AAC76338.1	QQM00891.1	QRP88272.1
OG0000655	BAB37602.1	AAC76339.1	QQM00892.1	QRP88271.1
OG0000656	BAB37603.1	AAC76340.1	QQM00893.1	QRP88270.1
OG0000657	BAB37604.1	AAC76341.1	QQM00894.1	QRP88269.1
OG0000658	BAB37605.1	AAC76342.1	QQM00895.1	QRP88268.1
OG0000659	BAB37606.1	AAC76343.1	QQM00896.1	QRP88267.1
OG0000660	BAB37607.1	AAC76344.1	QQM00897.1	QRP88266.1
OG0000661	BAB37608.1	AAC76345.1	QQM00898.1	QRP88265.1
OG0000662	BAB37609.1	AAC76346.1	QQM00899.1	QRP88264.1
OG0000663	BAB37614.1	AAC76365.1	QQM00370.1	QRP88263.1
OG0000664	BAB37615.1	AAC76366.1	QQM00369.1	QRP88262.1
OG0000665	BAB37616.1	AAC76367.1	QQM00368.1	QRP88261.1
OG0000666	BAB37649.1	AAC76409.1	QQM00998.1	QRP88406.1
OG0000667	BAB37650.1	AAC76410.1		QRP91070.1, QRP91192.1
OG0000668	BAB37651.1	AAC76411.1	QQM00922.1	QRP88530.1
OG0000669	BAB37700.1	AAC76457.1		QRP89046.1, QRP89866.1
OG0000670	BAB37711.1	AAC76464.1		QRP89152.1, QRP90767.1
OG0000671	BAB37728.1, BAB37732.2	AAC76483.1, AAT48185.1		
OG0000672	BAB37736.1	AAC76489.1	QQM01068.1	QRP89698.1
OG0000673	BAB37737.1	AAC76490.1	QQM01038.1	QRP91301.1
OG0000674	BAB37836.2	AAC76558.2	QQM00699.1	QRP91396.1
OG0000675	BAB37885.1, BAB37896.1	AAC76610.1, AAC76621.1		
OG0000676	BAB37904.1	AAC76011.1, AAC76627.1		QRP90646.1
OG0000677	BAB37909.1	AAC76632.1	QQM00939.1	QRP88593.1
OG0000678	BAB37913.1	AAC76636.1	QQM01053.1	QRP87758.1
OG0000679	BAB37932.1	AAC76658.1	QQM00769.1	QRP87991.1
OG0000680	BAB37934.1	AAC76660.1	QQM01092.1	QRP89696.1
OG0000681	BAB37935.1	AAC76661.1	QQM00668.1	QRP89695.1
OG0000682	BAB37946.1	AAC76672.1	QQM00706.1	QRP88689.1
OG0000683	BAB37950.1	AAC76676.1	QQM01015.1	QRP88474.1
OG0000684	BAB37956.2	AAC73373.1, AAC76681.2		QRP91437.1
OG0000685	BAB38042.1	AAC76701.1		QRP91188.1, QRP91504.1
OG0000686	BAB38058.1	AAC76723.1	QQM01370.1	QRP91122.1
OG0000687	BAB38059.1	AAC76724.1	QQM01203.1	QRP89306.1
OG0000688	BAB38060.1	AAC76725.1	QQM00358.1	QRP88580.1
OG0000689	BAB38061.1	AAC76726.1	QQM00518.1	QRP87590.1
OG0000690	BAB38063.1	AAC76728.1	QQM00548.1	QRP89528.1
OG0000691	BAB38064.1	AAC76729.1	QQM01132.1	QRP90954.1
OG0000692	BAB38084.1	AAC76748.1	QQM00652.1	QRP89391.1
OG0000693	BAB38085.1	AAC76749.1	QQM01166.1	QRP89390.1
OG0000694	BAB38086.1	AAC76750.1	QQM00519.1	QRP89389.1
OG0000695	BAB38094.1	AAC76752.1	QQM01435.1	QRP89494.1
OG0000696	BAB38095.1	AAC76753.1	QQM00461.1, QQM00834.1	
OG0000697	BAB38096.1	AAC76754.1	QQM00520.1	QRP89978.1
OG0000698	BAB38097.1	AAC76755.1	QQM01410.1	QRP89979.1
OG0000699	BAB38098.1	AAC76756.1	QQM01330.1	QRP89971.1
OG0000700	BAB38099.1	AAC76757.1	QQM00871.1	QRP89972.1
OG0000701	BAB38103.2	AAC76761.1	QQM00695.1	QRP89976.1
OG0000702	BAB38106.1	AAC76764.1	QQM01157.1	QRP87868.1
OG0000703	BAB38108.1	AAC76766.1		QRP88014.1, QRP88663.1
OG0000704	BAB38116.1, BAB38494.1	AAC76774.1, AAC77049.1		
OG0000705	BAB38137.2	AAC76786.2	QQM01063.1	QRP91332.1
OG0000706	BAB38139.1	AAC76788.1	QQM00992.1	QRP89133.1
OG0000707	BAB38140.1	AAC76789.1		QRP88723.1, QRP91606.1
OG0000708	BAB38162.2	AAC76812.2	QQM01311.1	QRP89488.1
OG0000709	BAB38166.1	AAC76816.1	QQM01117.1	QRP89602.1
OG0000710	BAB38186.1	AAT48227.1	QQM00670.1	QRP91158.1
OG0000711	BAB38189.1	AAC76839.2	QQM00477.1	QRP91178.1
OG0000712	BAB38191.1	AAC76842.1	QQM00716.1	QRP91179.1
OG0000713	BAB38209.1	AAC76861.1	QQM01149.1	QRP87876.1
OG0000714	BAB38210.1	AAC76862.3	QQM00553.1	QRP90282.1
OG0000715	BAB38216.1	AAT48232.1	QQM00540.1	QRP88067.1
OG0000716	BAB38221.1, BAB38222.1	AAC76874.2, AAT48233.1		
OG0000717	BAB38267.1	AAC76901.1	QQM00427.1	QRP88479.1
OG0000718	BAB38279.1	AAC76911.1		QRP91210.1, QRP91211.1
OG0000719	BAB38285.1	AAC76917.1	QQM01302.1	QRP88236.1
OG0000720	BAB38303.1	AAC73910.1, AAC76933.1		QRP88129.1
OG0000721	BAB38311.2	AAC76941.3	QQM01413.1	QRP91458.1
OG0000722	BAB38322.1	AAC76950.1	QQM00781.1	QRP89302.1
OG0000723	BAB38323.1	AAC76951.1	QQM01124.1	QRP91340.1
OG0000724	BAB38328.1	AAC76956.1	QQM00373.1	QRP88249.1
OG0000725	BAB38329.1	AAC76957.1	QQM00374.1	QRP88250.1
OG0000726	BAB38330.1	AAC76958.1	QQM00375.1	QRP88251.1
OG0000727	BAB38331.1	AAC76959.1	QQM00376.1	QRP88252.1
OG0000728	BAB38332.1	AAC76960.1	QQM00377.1	QRP88253.1
OG0000729	BAB38334.1	AAC76962.1	QQM00378.1	QRP88255.1
OG0000730	BAB38346.1	AAC76974.1	QQM00406.1	QRP88091.1
OG0000731	BAB38350.1	AAC76978.1		QRP88334.1, QRP88812.1
OG0000732	BAB38351.1	AAC76979.1	QQM00382.1	QRP87882.1
OG0000733	BAB38352.1	AAC76980.1	QQM01052.1	QRP88345.1
OG0000734	BAB38518.1	AAC77074.1	QQM00940.1	QRP89406.1
OG0000735	BAB38546.1	AAC77102.1	QQM00601.1	QRP88968.1
OG0000736	BAB38547.1	AAC77103.1	QQM00600.1	QRP88969.1
OG0000737	BAB38551.1	AAC77107.1	QQM01367.1	QRP87591.1
OG0000738	BAB38576.1	AAC77134.1	QQM01419.1	QRP88948.1
OG0000739	BAB38601.1	AAC77159.1	QQM00981.1	QRP88566.1
OG0000740	BAB38602.1	AAC77160.1	QQM00982.1	QRP88567.1
OG0000741	BAB38638.1	AAC77195.1		QRP88705.1, QRP90229.1
OG0000742	BAB38642.1	AAC77199.1		QRP87819.1, QRP88161.1
OG0000743	BAB38645.1	AAC77202.1	QQM01072.1	QRP89946.1
OG0000744	BAB38654.1	AAC73376.1, AAC77211.1		QRP87583.1
OG0000745	BAB38658.1	AAC77215.1	QQM00729.1	QRP91036.1
OG0000746	BAB38678.2, BAB38692.2	AAC77266.2		QRP90542.1
OG0000747	BAB38746.2	AAC77319.2		QRP89439.1, QRP89671.1
OG0000748	BAB38747.2	AAC77320.2		QRP89440.1, QRP89670.1
OG0000749	BAB38768.1	AAC77339.1, AAC77340.1		QRP90636.1
OG0000750	BAB38770.1	AAC77342.1	QQM01067.1	QRP87493.1
OG0000751		AAC73800.1, AAC74542.1, AAC76509.1, AYC08186.1		
OG0000752			QQM00365.1, QQM00756.1, QQM01200.1, QQM01432.1	
OG0000753			QQM00470.1, QQM00664.1, QQM00690.1, QQM01305.1	
OG0000754			QQM00563.1, QQM00589.1, QQM00710.1, QQM00851.1	
OG0000755			QQM00620.1, QQM01287.1, QQM01362.1, QQM01454.1	
OG0000756			QQM00750.1, QQM01034.1, QQM01076.1, QQM01102.1	
OG0000757			QQM00911.1, QQM01030.1	QRP90654.1, QRP91055.1
OG0000758			QQM01039.1, QQM01040.1, QQM01041.1, QQM01042.1	
OG0000759			QQM01310.1	QRP89146.1, QRP89394.1, QRP90299.1
OG0000760				QRP87481.1, QRP87566.1, QRP88070.1, QRP91142.1
OG0000761				QRP87611.1, QRP87919.1, QRP89180.1, QRP89185.1
OG0000762				QRP87619.1, QRP87920.1, QRP87924.1, QRP91457.1
OG0000763				QRP87680.1, QRP87896.1, QRP88623.1, QRP90887.1
OG0000764				QRP87684.1, QRP88453.1, QRP90043.1, QRP91303.1
OG0000765				QRP87689.1, QRP88569.1, QRP90003.1, QRP90463.1
OG0000766				QRP87789.1, QRP87790.1, QRP89116.1, QRP90720.1
OG0000767				QRP87793.1, QRP90532.1, QRP90620.1, QRP90916.1
OG0000768				QRP87953.1, QRP89194.1, QRP89753.1, QRP90716.1
OG0000769				QRP87973.1, QRP89561.1, QRP90952.1, QRP91418.1
OG0000770				QRP88220.1, QRP88446.1, QRP88913.1, QRP90545.1
OG0000771				QRP88256.1, QRP88779.1, QRP91307.1, QRP91353.1
OG0000772				QRP88364.1, QRP89423.1, QRP89846.1, QRP89981.1
OG0000773				QRP88368.1, QRP89970.1, QRP90239.1, QRP91092.1
OG0000774				QRP88448.1, QRP88914.1, QRP90846.1, QRP90935.1
OG0000775				QRP88460.1, QRP88624.1, QRP91030.1, QRP91430.1
OG0000776				QRP88504.1, QRP90459.1, QRP90707.1, QRP91253.1
OG0000777				QRP88505.1, QRP90458.1, QRP90706.1, QRP91252.1
OG0000778				QRP88521.1, QRP89472.1, QRP90776.1, QRP91238.1
OG0000779				QRP88525.1, QRP88715.1, QRP90431.1, QRP91231.1
OG0000780				QRP88595.1, QRP88599.1, QRP90389.1, QRP90469.1
OG0000781				QRP88635.1, QRP88636.1, QRP88637.1, QRP88903.1
OG0000782				QRP88720.1, QRP89285.1, QRP89373.1, QRP91478.1
OG0000783				QRP88739.1, QRP89549.1, QRP90453.1, QRP90703.1
OG0000784				QRP88778.1, QRP89403.1, QRP89936.1, QRP90881.1
OG0000785				QRP88894.1, QRP89651.1, QRP89653.1, QRP91367.1
OG0000786				QRP88954.1, QRP89526.1, QRP91102.1, QRP91463.1
OG0000787				QRP89007.1, QRP89013.1, QRP90607.1, QRP91074.1
OG0000788				QRP89158.1, QRP89202.1, QRP90518.1, QRP90888.1
OG0000789				QRP89342.1, QRP90752.1, QRP91377.1, QRP91475.1
OG0000790				QRP89356.1, QRP89368.1, QRP91244.1, QRP91245.1
OG0000791				QRP89725.1, QRP89808.1, QRP89810.1, QRP89812.1
OG0000792				QRP89754.1, QRP89997.1, QRP90286.1, QRP90659.1
OG0000793				QRP90103.1, QRP90108.1, QRP90338.1, QRP90346.1
OG0000794				QRP90354.1, QRP90496.1, QRP90506.1, QRP90507.1
OG0000795				QRP91403.1, QRP91551.1, QRP91595.1, QRP91597.1
OG0000796	BAA31775.1			QRP87942.1, QRP88403.1
OG0000797	BAA31776.1, BAB33967.1		QQM01445.1	
OG0000798	BAA31777.1, BAB36969.1	AAC75731.1		
OG0000799	BAA31832.1, BAB38294.1	AAC76924.1		
OG0000800	BAA31839.1, BAB38307.1	AAC76937.1		
OG0000801	BAA31840.1, BAB35988.1	AAC74925.1		
OG0000802	BAB33427.1	AAC73115.1		QRP87489.1
OG0000803	BAB33429.1	AAC73117.1		QRP88418.1
OG0000804	BAB33440.1	AAC73130.1		QRP89574.1
OG0000805	BAB33447.1, BAB36340.1	AAC75172.1		
OG0000806	BAB33460.2, BAB38000.1	AAC73145.2		
OG0000807	BAB33461.2	AAC73146.2, AAC74482.1		
OG0000808	BAB33471.1	AAC73156.1, AAC75813.2		
OG0000809	BAB33472.1	AAC73157.1, AAC73987.1		
OG0000810	BAB33478.1	AAC73161.1	QQM01477.1	
OG0000811	BAB33480.1	AAC73163.1		QRP91010.1
OG0000812	BAB33481.1	AAC73164.1		QRP88372.1
OG0000813	BAB33484.1, BAB33496.1	AYC08162.1		
OG0000814	BAB33485.1	AAC73169.1		QRP90959.1
OG0000815	BAB33486.1, BAB38684.2	AAC73170.1		
OG0000816	BAB33488.1	AAC73172.1, AAC76607.1		
OG0000817	BAB33498.1	AAC73182.1		QRP88929.1
OG0000818	BAB33499.1	AAC73183.1		QRP88928.1
OG0000819	BAB33500.2	AAC73184.2		QRP88931.1
OG0000820	BAB33511.1	AAC73195.1	QQM01361.1	
OG0000821	BAB33536.1	AAC73220.1		QRP90755.1
OG0000822	BAB33537.1	AAC73221.1	QQM01208.1	
OG0000823	BAB33540.1	AAC73224.1, AAC76016.1		
OG0000824	BAB33552.2	AAC73236.2		QRP90980.1
OG0000825	BAB33558.1	AAC73242.1		QRP91076.1
OG0000826	BAB33560.1	AAC73244.1		QRP91077.1
OG0000827	BAB33561.1	AAC73245.1		QRP89986.1
OG0000828	BAB33567.1, BAB34702.1	AAC73251.1		
OG0000829	BAB33569.1	AAC73253.1		QRP87907.1
OG0000830	BAB33570.2	AAC73254.2	QQM00711.1	
OG0000831	BAB33572.1	AAC73256.1	QQM01224.1	
OG0000832	BAB33576.1	AAC73260.1, QNV50512.1		
OG0000833	BAB33578.1	AAC73262.1		QRP89620.1
OG0000834	BAB33582.1	AAC73266.1		QRP90901.1
OG0000835	BAB33583.1	AAC73267.1	QQM00919.1	
OG0000836	BAB33584.1	AAC73268.1		QRP90399.1
OG0000837	BAB33586.1	AAC73270.1		QRP88780.1
OG0000838	BAB33591.1	AAC73277.1	QQM00924.1	
OG0000839	BAB33604.1	AAC73290.1		QRP91167.1
OG0000840	BAB33607.1	AAC73293.1		QRP91279.1
OG0000841	BAB33625.1	AAC73311.1		QRP90790.1
OG0000842	BAB33626.1	AAC73312.1, AAT48134.1		
OG0000843	BAB33629.1	AAC73315.1		QRP91000.1
OG0000844	BAB33630.1	AAC73316.1		QRP91284.1
OG0000845	BAB33633.1	AAC73319.1	QQM00598.1	
OG0000846	BAB33634.2	AAC73320.1	QQM00439.1	
OG0000847	BAB33639.1, BAB33657.1	AAC76467.1		
OG0000848	BAB33659.1, BAB34030.1, BAB35483.1			
OG0000849	BAB33669.1	AAC73323.1		QRP89225.1
OG0000850	BAB33672.1	AAC73326.1		QRP90789.1
OG0000851	BAB33679.2, BAB36022.1	AAC74959.1		
OG0000852	BAB33681.1	AAC73335.1		QRP90970.1
OG0000853	BAB33692.1	AAC73346.1		QRP87579.1
OG0000854	BAB33693.1	AAC73347.1		QRP87580.1
OG0000855	BAB33699.1, BAB34610.1, BAB36411.1			
OG0000856	BAB33705.1	AAC74239.1, AAC75413.1		
OG0000857	BAB33710.1, BAB34510.1, BAB35614.1			
OG0000858	BAB33734.2, BAB38019.1	AAC76685.2		
OG0000859	BAB33759.1, BAB38713.2	AAC75042.4		
OG0000860	BAB33762.1	AAC73404.2		QRP90736.1
OG0000861	BAB33765.2	AAC73407.2		QRP90737.1
OG0000862	BAB33767.1	AAC73409.1		QRP88784.1
OG0000863	BAB33768.1	AAC73410.1		QRP88785.1
OG0000864	BAB33769.2	AAC73411.2		QRP88786.1
OG0000865	BAB33786.1	AAC73418.1, AAC74252.2		
OG0000866	BAB33797.1, BAB35546.1	AAC74589.1		
OG0000867	BAB33801.1, BAB35545.1	AAC74588.1		
OG0000868	BAB33805.2	AAC73431.1		QRP90859.1
OG0000869	BAB33819.1, BAB36664.1	AAC73446.1		
OG0000870	BAB33831.2, BAB36454.1	AAC73456.2		
OG0000871	BAB33836.2	AAC73365.2	QQM00478.1	
OG0000872	BAB33837.1, BAB34215.1	AAC73851.1		
OG0000873	BAB33840.1, BAB38028.2	AAC76691.2		
OG0000874	BAB33841.1, BAB38029.1	AAC76692.1		
OG0000875	BAB33846.2	AAC73472.2	QQM00483.1	
OG0000876	BAB33861.1	AAC73491.1		QRP87798.1
OG0000877	BAB33865.2, BAB35432.2	AAC74489.2		
OG0000878	BAB33870.2	AAC73500.1		QRP89198.1
OG0000879	BAB33871.1	AAC73501.1		QRP89197.1
OG0000880	BAB33872.1	AAC73502.1		QRP90673.1
OG0000881	BAB33873.1	AAC73503.1		QRP90674.1
OG0000882	BAB33876.1	AAC73506.2		QRP89055.1
OG0000883	BAB33879.1	AAC73508.1		QRP87908.1
OG0000884	BAB33883.1	AAC73512.1	QQM00546.1	
OG0000885	BAB33892.1	AAC73519.1		QRP90927.1
OG0000886	BAB33893.1	AAC73520.1		QRP88920.1
OG0000887	BAB33894.1	AAC73521.1	QQM00938.1	
OG0000888	BAB33896.1	AAC73522.2		QRP90051.1
OG0000889	BAB33901.2	AAC73527.2		QRP88472.1
OG0000890	BAB33905.1	AAC73531.1	QQM00597.1	
OG0000891	BAB33907.1	AAC73533.1	QQM00467.1	
OG0000892	BAB33908.1	AAC73534.1	QQM00596.1	
OG0000893	BAB33909.1	AAC73535.1	QQM00595.1	
OG0000894	BAB33912.2	AAC73538.2	QQM01461.1	
OG0000895	BAB33913.1	AAC73539.1	QQM01418.1	
OG0000896	BAB33917.1	AAC73543.1		QRP88097.1
OG0000897	BAB33918.1	AAC73544.1	QQM00994.1	
OG0000898	BAB33920.1	AAC73546.1		QRP87977.1
OG0000899	BAB33921.1	AAC73547.1		QRP91426.1
OG0000900	BAB33924.2	AAC73550.2		QRP90028.1
OG0000901	BAB33925.1	AAC73551.1		QRP89201.1
OG0000902	BAB33931.2	AAC73557.1		QRP89016.1
OG0000903	BAB33944.1	AAC73570.1		QRP88781.1
OG0000904	BAB33945.1	AAC73571.1		QRP87869.1
OG0000905	BAB33947.1	AAC73573.1	QQM01199.1	
OG0000906	BAB33951.1	AAC73577.1	QQM01289.1	
OG0000907	BAB33955.1	AAC73581.1		QRP89863.1
OG0000908	BAB33957.1	AAC73583.1		QRP89520.1
OG0000909	BAB33961.1	AAC73587.1		QRP87624.1
OG0000910	BAB33977.2	AAC73593.2		QRP89737.1
OG0000911	BAB33988.1	AAC73419.1, AAC73606.1		
OG0000912	BAB33992.1	AAC73610.1, AAC75781.1		
OG0000913	BAB34007.1	AAC73624.1	QQM01263.1	
OG0000914	BAB34009.1	AAC73626.1		QRP87593.1
OG0000915	BAB34020.1	AAC73637.1		QRP90818.1
OG0000916	BAB34032.1	AAC73672.1		QRP89965.1
OG0000917	BAB34035.1	AAC73675.1		QRP89967.1
OG0000918	BAB34036.1	AAC73676.1		QRP88858.1
OG0000919	BAB34040.1	AAC73680.1		QRP89718.1
OG0000920	BAB34054.1	AAC73693.1, AAC77246.2		
OG0000921	BAB34055.1	AAC73694.1		QRP90853.1
OG0000922	BAB34063.1	AAC73702.1		QRP90023.1
OG0000923	BAB34068.1	AAC73707.2		QRP90886.1
OG0000924	BAB34070.1	AAC73709.1		QRP90874.1
OG0000925	BAB34086.1	AAC73725.1		QRP90936.1
OG0000926	BAB34094.1	AAC73734.1	QQM00754.1	
OG0000927	BAB34097.1	AAC73737.1		QRP90757.1
OG0000928	BAB34100.1	AAC73740.1		QRP88688.1
OG0000929	BAB34107.1	AAC73747.1, AAC73750.1		
OG0000930	BAB34119.1	AAC73759.1		QRP90687.1
OG0000931	BAB34121.1	AAC73761.2		QRP91156.1
OG0000932	BAB34127.1	AAC73768.1		QRP89492.1
OG0000933	BAB34129.1	AAC73770.1		QRP90559.1
OG0000934	BAB34131.1	AAC73772.1		QRP91096.1
OG0000935	BAB34133.1	AAC73774.1		QRP89387.1
OG0000936	BAB34138.1	AAC73778.1		QRP89466.1
OG0000937	BAB34146.1	AAC73789.1		QRP87515.1
OG0000938	BAB34147.1	AAC73790.1		QRP87517.1
OG0000939	BAB34148.1	AAC73791.1		QRP87518.1
OG0000940	BAB34149.1	AAC73792.1		QRP87519.1
OG0000941	BAB34158.1	AAC73804.1		QRP89733.1
OG0000942	BAB34164.1	AAC73810.2, AAC76084.1		
OG0000943	BAB34165.1	AAC73811.1, AAC76083.2		
OG0000944	BAB34167.2	AAC73813.1, AAC76079.1		
OG0000945	BAB34169.2	AAC73815.1	QQM01322.1	
OG0000946	BAB34174.1	AAC73820.1	QQM01387.1	
OG0000947	BAB34179.1, BAB35265.1	AAC74352.1		
OG0000948	BAB34187.1			QRP89265.1, QRP91219.1
OG0000949	BAB34196.1	AAC73832.1		QRP88470.1
OG0000950	BAB34198.1	AAC73834.1	QQM00386.1	
OG0000951	BAB34201.1	AAC73837.1		QRP87955.1
OG0000952	BAB34202.1	AAC73838.1		QRP87487.1
OG0000953	BAB34206.1	AAC73842.1		QRP89096.1
OG0000954	BAB34208.1	AAC73844.1		QRP90608.1
OG0000955	BAB34210.1	AAC73846.1		QRP89539.1
OG0000956	BAB34211.1	AAC73847.1		QRP89094.1
OG0000957	BAB34218.1	AAC73854.1		QRP90973.1
OG0000958	BAB34219.2	AAC73855.2, AAC75462.1		
OG0000959	BAB34229.2, BAB34594.1, BAB36428.2			
OG0000960	BAB34230.1, BAB34595.1, BAB36427.1			
OG0000961	BAB34231.1, BAB34596.1, BAB36426.2			
OG0000962	BAB34232.1, BAB34597.1, BAB36425.1			
OG0000963	BAB34242.1, BAB38385.1	AAC73656.1		
OG0000964	BAB34274.1	AAC73646.1, AAC73860.1		
OG0000965	BAB34275.1	AAC73861.1		QRP90650.1
OG0000966	BAB34287.1	AAC73873.1	QQM01106.1	
OG0000967	BAB34290.1	AAC73876.1		QRP88666.1
OG0000968	BAB34294.1	AAC73880.1		QRP89504.1
OG0000969	BAB34295.2	AAC73881.2		QRP89503.1
OG0000970	BAB34296.2	AAC73882.1		QRP89502.1
OG0000971	BAB34308.2	AAC73894.2		QRP89255.1
